text,label
Диагностика неисправностей Исполнитель оказывает услуги месте нахождения Заказчика Качество услуг Качество оказываемых Исполнителем услуг техническому обслуживанию должно соответствовать требованиям установленным название документа номер дата принятия наименование принявшего органа другие реквизиты Цена услуг порядок оплаты Цена услуг составляет рублей числе НДС сумме рублей Цена услуг является твердой Заказчик обязуется оплатить оказанные услуги позднее Расчеты Договору осуществляются безналичном порядке платежными поручениями Обязательство Заказчика оплате считается исполненным момент зачисления денежных средств корреспондентский счет банка Исполнителя Сроки условия оказания услугЕсли договоре указано предоставлять оборудование эта обязанность возлагается исполнителя п ст,2
Рекомендации заключению договора возмездного оказания услуг Исполнитель обязуется приступить оказанию услуг техническому обслуживанию завершить оказание Сроки оказания отдельных видов услуг Исполнитель обязуется оказать услуги диагностике неисправностей автомобиля следующие сроки Исполнитель обязуется оказать услуги текущему ремонту автомобиля следующие сроки Принятие Исполнителем объекта техническое обслуживание оформляется составлением акта подписываемого обеими сторонами,2
Заявка техническое обслуживание направляется Исполнителю Заявка техническое обслуживание должна содержать указание реквизиты Договора наименование объекта технического обслуживания индивидуальные признаки объекта технического обслуживания предполагаемые перечень объем услуг заявке описание неисправностей наименование деталей подлежащих замене Перед проведением ремонтных работ сторонами оформляется акт дефектовки Документ составленный сторонами проведением ремонтных работ должен содержать следующие обязательные условия указание реквизиты Договора наименование объектаов технического обслуживания индивидуальные признаки объектаов технического обслуживания состояние объектаов момент передачи Исполнителю описание недостатков перечень объем работ наименование деталей подлежащих замене стоимость работ Ф И О,2
должность подпись уполномоченных представителей сторон Исполнитель определяет технологию оказания услуг техническому обслуживанию самостоятельно соблюдая обязательные требования нормативных документов Составление акта оказании услуг Факт оказания услуг Исполнителем получения Заказчиком должен подтвержден актом оказании услуг техническому обслуживанию подписанным обеими сторонами Акт оказании услуг техническому обслуживанию должен составлен подписан передан Исполнителем подпись Заказчику течение окончании срока оказания услуг Заказчик обязан подписать вернуть Исполнителю экземпляр акта позднее момента получения Подписание акта оказании услуг техническому обслуживанию будут осуществлятьсо стороны Заказчика указываются Ф И О,2
должность основание полномочия представителя Исполнителя Для подтверждения полномочий подписание акта представители сторон предъявляют заверенные копии доверенностей также документы удостоверяющие личность В акте оказании услуг техническому обслуживанию должны содержаться следующие сведения Ответственность сторонВнимание,2
Рекомендации заключению договора возмездного оказания услуг Если размер процентов пользование чужими денежными средствами согласован договоре определяться учетной ставкой банковского процента действующей месте жительства нахождения кредитора день исполнения денежного обязательства соответствующей части п п,2
ГК РФ Если договоре согласован срок начисления процентов подлежат уплате весь период пользования чужими денежными средствами день исполнения денежного обязательства исключением случаев предусмотренных законом иными правовыми актами п ст,2
ГК РФ Если иное предусмотрено законом сторона исполнившая ненадлежащим образом исполнившая свои обязательства осуществлении предпринимательской деятельности несет ответственность докажет надлежащее исполнение оказалось невозможным вследствие непреодолимой силы чрезвычайных непредотвратимых данных условиях обстоятельств,2
К таким обстоятельствам относятся частности нарушение обязанностей стороны контрагентов должника отсутствие рынке нужных исполнения товаров отсутствие должника необходимых денежных средств Изменение расторжение договора Изменение договора Договор изменен соглашению сторон Расторжение договора Договор расторгнут соглашению сторон В случае одностороннего отказа одной стороны исполнения Договора считается расторгнутым момента получения стороной соответствующего письменного уведомления Разрешение споров Споры вытекающие Договора подлежат передаче разрешение арбитражный суд соответствии правилами подведомственности подсудности установленными Арбитражным процессуальным кодексом РФ Заключительные положения Договор действует Адреса реквизиты сторон Заказчик Исполнитель Наименование Место нахождения Почтовый адресТелефонФаксЭлектронная почтаОГРНИННКППР свК сБИК Наименование Место нахождения Почтовый адресТелефонФаксЭлектронная почтаОГРНИННКППР свК сБИК имени Заказчика должность подпись Ф И О,2
Предмет договора Арендодатель обязуется передать Субарендатору плату временное владение пользование следующее нежилое помещение расположенное здании сооружении адресу далее имущество помещенияФункциональное назначение Кадастровый условный номер присвоен кем Ранее присвоенный учетный номер кадастровый условный инвентарный присвоен кем Общая площадь кв,4
иные характеристики помещения К Договору прилагаются следующие документы содержащие описание помещения копия оригинал кадастрового паспорта копия оригинал технического паспорта копия оригинал технического плана копия свидетельства государственной регистрации права серия копия оригинал наименование реквизиты документа Согласие арендодателя лицо данные далее арендодатель основному договору аренды договору аренды наименование реквизиты договора далее основной договор аренды сдачу имущества субаренду выражено наименование реквизиты документа Имущество находится Арендодателя праве аренды согласно договору аренды наименование реквизиты договора далее основной договор аренды заключенному арендодатель договору аренды далее арендодатель основному договору аренды срок Помещение принадлежит лицо данные праве собственности зарегистрированном Едином государственном реестре прав недвижимое имущество сделок номером номер государственной регистрации подтверждается свидетельством государственной регистрации права серия выданным наименование регистрирующего органа Арендодатель гарантирует момент заключения Договора права помещение являются предметом иска помещение состоит арестом является предметом залога обременено иными правами третьих лиц Срок субаренды Срок начала субарендыСрок окончания субаренды года Внимание,4
Согласно позиции судов договор признается недействительным влечет применение последствий недействительности сделки Постановление ФАС Центрального округа делу А Постановление ФАС Уральского округа делу А Постановление Семнадцатого арбитражного апелляционного суда делу А Платежи расчеты договору,4
Изменение размера арендной платы В качестве арендной платы Субарендатор ежемесячно вносит рублей Арендная плата включает НДС сумме рублей Способ сроки внесения арендной платы Выплата арендной платы осуществляется безналичном порядке путем направления платежных поручений Субарендатор обязуется вносить арендную плату каждый расчетный месяц следующие сроки сумма позднее начала расчетного месяца сумма позднее окончания Обязательство Субарендатора внесению безналичного платежа считается исполненным момент зачисления денежных средств корреспондентский счет банка Арендодателя Размер арендной платы изменен соглашению сторон Размер арендной платы изменяться чаще одного раза год п ст,4
ГК РФ Если момент который обязательство возврату имущества считается исполненным определен объект субаренды считается возвращенным предоставлен арендодателю владение пользование стороны подписали документ передаче п ст,4
ГК РФ Предоставление имущества Одновременно помещением Субарендатору передается сводный план сетей инженернотехнического обеспечения помещения форме копии оригинала Обязательство Арендодателя передаче имущества считается исполненным предоставления владение Субарендатору подписания сторонами документа передаче Имущество передается акту приемапередачи содержащему сведения состоянии,4
Если приемке будут обнаружены недостатки должны зафиксированы акте Возврат имущества Одновременно имуществом Субарендатор обязан передать Арендодателю наименование документов При возврате имущества осуществляются осмотр имущества передача ключей Арендодателю Имущество возвращается акту приемапередачи содержащему сведения состоянии,4
Передача имущества арендных прав третьим лицамЕсли условия пользования объектом субаренды согласованы субарендатор должен пользоваться имуществом соответствии назначением эксплуатационными документами также учетом ограничений основного договора аренды п п ст,4
Общие положения Субарендатор вправе своими силами свой счет установить вывеску входе внутри здания сооружения котором расположено имущество соблюдением требований нормативных правовых актов получения дополнительного согласия Арендодателя который самостоятельно осуществляет согласование арендодателем основному договору аренды это необходимо Передача имущества арендных прав третьим лицам Субарендатор вправе получения дополнительного согласия Арендодателя сдавать имущество вторичную субаренду субсубаренду предоставлять имущество безвозмездное пользование передавать свои права обязанности Договору другому лицу перенаем отдавать арендные права залог вносить арендные права качестве вклада уставный капитал хозяйственных товариществ обществ вносить арендные права качестве паевого взноса производственный кооператив Арендодателю,4
Общие положения Содержание улучшение имущества Для надлежащей эксплуатации помещения Субарендатор самостоятельно заключает договоры вывоз мусора твердые жидкие бытовые отходы крупногабаритный мусор,4
осуществлять уборку выполнять иные необходимые санитарные работы обеспечить соблюдение санитарных норм правил Улучшение имущества Отделимые улучшения имущества произведенные Субарендатором являются собственностью Стоимость неотделимых улучшений имущества произведенных Субарендатором счет собственных средств согласия Арендодателя подлежит возмещению Арендодателем полном объеме путем оплаты документально подтвержденной стоимости таких улучшений течение момента прекращения Договора При возникновении необходимости произвести неотделимые улучшения имущества стороны согласовывают следующие условия проведения виды объем работ стоимость улучшений сроки производства работ При Арендодатель обязуется согласовывать арендодателем основному договору аренды условия производства улучшений Субарендатором Согласование условий осуществляется путем направления письменного запроса Субарендатором,4
Арендодатель направляет ответ запрос письменной форме позднее момента получения запроса Если ответ запрос согласовании условий производства неотделимых улучшений получен срок установленный Договором такие условия считаются несогласованными Перепланировка переустройство переоборудование помещения производятся согласования сторонами также получения необходимых разрешений согласований установленном законом порядке,4
Перед началом соответствующих работ мероприятий стороны согласовывают следующие условия проведения виды объем работ сроки работ стоимость работ Согласование условий осуществляется следующем порядке Все согласования необходимые производства перепланировки переустройства переоборудования помещения органе который согласовывает выдает подтверждающие документы осуществляет Арендодатель счет Ответственность сторон Взыскание неустойки Субарендатора При просрочке внесения Субарендатором арендной платы Арендодатель вправе потребовать уплаты пеней размере суммы задолженности каждый день просрочки При несвоевременном возврате имущества Субарендатором Арендодатель вправе потребовать уплаты пеней размере каждый день просрочки Взыскание убытков Каждая сторон обязана возместить стороне убытки причиненные неисполнением ненадлежащим исполнением своих обязательств Убытки Арендодателя причиненные неисполнением ненадлежащим исполнением Субарендатором договорных обязательств возмещаются части покрытой неустойкой Изменение расторжение договора Договор изменен расторгнут соглашению сторон Разрешение споров Требование изменении расторжении Договора заинтересованная сторона заявить суд получения отказа стороны предложение изменить расторгнуть Договор либо неполучения ответа срок указанный предложении установленный законом отсутствии тридцатидневный срок Заключительные положенияЕсли договоре указан срок действия договор вступает силу момента заключения,4
должность подпись лица получившего данный документ заказным письмом уведомлением вручении Стороны установили специальный порядок направления корреспонденции допускающий использование таких способов доставки направление нарочным курьерская доставка отправление ценным письмом описью вложения уведомлением вручении следующим вопросам изменения размера арендной платы получения согласия Арендодателя передачу имущества вторичную субаренду субсубаренду получения согласия Арендодателя передачу имущества безвозмездное пользование получения согласия Арендодателя передачу прав обязанностей Договору другому лицу перенаем получения согласия Арендодателя передачу арендных прав залог получения согласия Арендодателя внесение арендных прав качестве вклада уставной капитал хозяйственных обществ товариществ получения согласия Арендодателя внесение арендных прав качестве паевого взноса производственный кооператив производства Субарендатором неотделимых улучшений имущества досрочного расторжения Договора Приложения Договору Копия поэтажного плана экспликацией Кадастровый паспорт наименование объекта Технический паспорт наименование объекта Технический план наименование объекта Копия свидетельства государственной регистрации права серия наименование реквизиты документа содержащего описание объектов,4
Адреса реквизиты сторон Арендодатель Субарендатор Наименование Место нахожденияПочтовый адресТелефонФаксЭлектронная почтаОГРНИННКППР свК сБИК Наименование Место нахожденияПочтовый адресТелефонФаксЭлектронная почтаОГРНИННКППР свК сБИК имени Арендодателя должность подпись Ф И О,4
Общий срок выполнения Работ Заявке определяется наиболее длительным сроком выполнения отдельным видам Работ указанным заявке Заказчика Заверения обстоятельствахПредоставляемые настоящей статье заверения Сторон являются заверениями обстоятельствах имеющих значение заключения Договора смыслу статьи,3
Стороны полагаются данные заверения исходят достоверности полноты заключении Договора Подрядчик настоящим заверяет чтоПодрядчик является юридическим лицом надлежащим образом учрежд нным действующим соответствии законодательством России вправе вести коммерческую деятельность собственником имущества отвечать своим обязательствам сч т такого имущества своего имени приобретать осуществлять имущественные праваДоговор является законным действительным имеющим полную юридическую силу документом подлежит принудительному исполнению соответствии оговор нными н м условиямиНе подано никаких судебных исков вынесено никаких судебных решений признании Подрядчика несостоятельным банкротом либо отношении принудительной ликвидации Подрядчика также принято никаких решений касательно реорганизации добровольной ликвидации ПодрядчикаПодрядчик обладает правоспособностью заключение Договора исполнение обязательств осуществление сделок предусмотренных Договором включая необходимости получение необходимых одобрений одобрение крупной сделки и или сделки которой имеется заинтересованность и или иные одобрения предусмотренные применимым законодательством и или учредительными документами Подрядчика и или согласий какихлибо контролирующих органовЛица подписывающие Договор имени Подрядчика имеют необходимые полномочия разрешения одобрения такое подписаниеЗаключение исполнение Договора противоречит противоречить никакому действующему закону подзаконному акту Российской Федерации вступившему законную силу решению любого судебного органа Российской Федерации признанному привед нному исполнение территории Российской Федерации решению любого судебного органа какойлибо иной юрисдикции также уставу другим внутренним процедурам числе локальным нормативным актам Подрядчика какимлибо иным обязательствам Подрядчика целям предмету деятельности ПодрядчикаДоговор является Подрядчика крупной сделкой сделкой совершении которой имеется заинтересованность требует какоголибо предварительного одобрения силу устава ПодрядчикаПодрядчик имеет необходимые специальные разрешения лицензии допуски проведения Работ,3
Заказчик настоящим заверяет чтоЗаказчик является юридическим лицом надлежащим образом учрежд нным действующим соответствии законодательством России вправе вести коммерческую деятельность собственником имущества отвечать своим обязательствам сч т такого имущества своего имени приобретать осуществлять имущественные праваДоговор является законным действительным имеющим полную юридическую силу документом подлежит принудительному исполнению соответствии оговор нными н м условиямиНе подано никаких судебных исков вынесено никаких судебных решений признании Заказчика несостоятельным банкротом либо отношении принудительной ликвидации Заказчика также принято никаких решений касательно реорганизации добровольной ликвидации ЗаказчикаЗаказчик обладает правоспособностью заключение Договора исполнение обязательств осуществление сделок предусмотренных Договором включая необходимости получение необходимых одобрений одобрение крупной сделки и или сделки которой имеется заинтересованность и или иные одобрения предусмотренные применимым законодательством и или учредительными документами Заказчика и или согласий какихлибо контролирующих органовЛица подписывающие Договор имени Заказчика имеют необходимые полномочия разрешения одобрения такое подписаниеЗаключение исполнение Договора противоречит противоречить никакому действующему закону подзаконному акту Российской Федерации вступившему законную силу решению любого судебного органа Российской Федерации признанному привед нному исполнение территории Российской Федерации решению любого судебного органа какойлибо иной юрисдикции также уставу другим внутренним процедурам числе локальным нормативным актам Заказчика какимлибо иным обязательствам Заказчика целям предмету деятельности ЗаказчикаДоговор является Заказчика крупной сделкой сделкой совершении которой имеется заинтересованность требует какоголибо предварительного одобрения силу устава ЗаказчикаЗаказчик располагает всеми необходимыми правами полномочиями организации проведения Работ Объектах Стороны настоящим заверяют гарантируют обстоятельства факты перечисленные выше пунктах Договора соответствуют действительности являются достоверными дату заключения Договора каждая Сторон предпринимать необходимые усилия обеспечить положение котором вышеуказанные заверения соответствовали действительности течение действия Договора,3
